Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
Abuja,Honda,Accord,2013,Gray,4.3,nigerian used,50000.0
Lagos,Toyota,Camry,2007,Silver,2.7,nigerian used,125084.0
Lagos,Toyota,Corolla 1.8 Advanced,2009,Gray,3.99,foreign used,207347.0
Abuja,Honda,Pilot EX 4x2 (3.5L 6cyl 5A),2007,Silver,3.2,foreign used,99000.0
Lagos,Mercedes-Benz,GLK-Class,2010,White,6.39,foreign used,226924.0
Abuja,Toyota,Highlander Sport,2008,Black,3.9,nigerian used,148000.0
Lagos,Mercedes-Benz,GLS-Class GLS450 4Matic,2017,Silver,34.8,foreign used,40000.0
Lagos,Toyota,Highlander XLE 4x2 V6 (3.5L 6cyl 8A),2017,Gray,19.5,foreign used,72366.0
Abuja,Lexus,RX 330,2005,Green,2.9,nigerian used,112366.0
Ibadan,Lexus,ES 350,2009,Silver,5.95,foreign used,147631.0
Lagos,Lexus,RX 350 F Sport FWD,2017,Blue,21.0,foreign used,20000.0
Abuja,Toyota,Sienna XLE FWD (3.3L V6 5A),2004,Gray,3.71,foreign used,387265.0
Abuja,Toyota,Corolla,2006,Gray,2.1,nigerian used,89000.0
Abuja,Mercedes-Benz,GLK-Class,2014,Black,10.2,foreign used,24153.0
Abuja,Lexus,RX 350,2010,Gray,7.5,nigerian used,112366.0
Lagos,Toyota,Highlander Limited,2010,Silver,7.35,foreign used,72366.0
Lagos,Lexus,ES 350,2008,Silver,4.5,foreign used,127083.0
Abuja,Toyota,Hilux SR+ 4x4,2019,White,20.0,brand new,811.0
Abuja,Audi,Q7,2010,Black,26.0,foreign used,34126.0
Lagos,Lexus,GS,2006,Silver,3.38,foreign used,100763.0
Lagos,Toyota,Highlander Limited,2008,White,7.0,foreign used,63821.0
Abuja,Mercedes-Benz,M Class,2014,Blue,8.0,nigerian used,112366.0
Lagos,Toyota,Camry,2008,Gray,3.5,foreign used,121331.0
Lagos,Toyota,Venza,2015,Gray,11.95,foreign used,53000.0
Lagos,Lexus,IS 250,2010,Silver,5.0,foreign used,121206.0
Lagos,Toyota,Land Cruiser Prado,2007,Black,7.31,nigerian used,140882.0
Lagos,Lexus,GX 460 Premium,2012,Silver,16.5,foreign used,86438.0
Lagos,Toyota,Camry,2007,Silver,1.91,nigerian used,125722.0
Abuja,Toyota,Highlander,2008,Red,4.5,nigerian used,112366.0
Ibadan,Toyota,RAV4,2010,Blue,5.3,foreign used,72366.0
Ibadan,Toyota,Corolla 1.8 Advanced,2009,Gray,3.83,foreign used,306514.0
Abuja,Mercedes-Benz,C300,2020,Gray,45.0,foreign used,23452.0
Abuja,Honda,Accord Sedan LX V6 Automatic,2005,Gray,1.3,foreign used,100000.0
Abuja,BMW,X5,2015,Gray,16.5,nigerian used,30000.0
Abuja,Honda,Civic Sedan EX Automatic,2005,Black,1.35,nigerian used,112366.0
Lagos,Lexus,LX 570 AWD,2017,Black,54.5,foreign used,50573.0
Abuja,Volkswagen,Routan SEL,2010,Gold,5.5,foreign used,72366.0
Lagos,Toyota,Highlander,2014,Burgandy,13.25,foreign used,109632.0
Ibadan,Lexus,ES 330,2006,Black,2.15,nigerian used,112366.0
Lagos,Toyota,RAV4 4x4,2007,Black,2.75,nigerian used,121300.0
Ibadan,Nissan,Pathfinder LE,2005,Green,1.46,nigerian used,144824.0
Abuja,Lexus,IS,2008,Black,4.5,foreign used,75000.0
Abuja,Toyota,Camry,2005,Gold,1.7,nigerian used,130291.0
Lagos,Lexus,ES 350,2007,Silver,3.48,nigerian used,74000.0
Abuja,Toyota,Camry,2009,Black,2.25,nigerian used,100521.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2008,Silver,5.2,foreign used,72366.0
Lagos,Honda,Odyssey,2000,Gray,1.13,nigerian used,108559.0
Lagos,Toyota,Camry,2013,Gray,4.84,nigerian used,61476.0
Abuja,Kia,Optima,2013,Gray,4.8,foreign used,122852.0
Lagos,Toyota,Camry XLE V6 FWD,2020,Black,28.5,brand new,811.0
Abuja,Lexus,IS 350,2008,Gray,4.5,foreign used,72366.0
Abuja,Toyota,Camry,2013,Red,5.2,foreign used,151255.0
Lagos,Lexus,ES 350,2006,White,4.35,foreign used,72366.0
Lagos,Toyota,Tundra,2010,Blue,7.3,foreign used,72366.0
Abuja,Peugeot,406,2002,Burgandy,1.4,nigerian used,112366.0
Abuja,Mercedes-Benz,C400,2016,Gray,17.5,foreign used,32142.0
Abuja,Toyota,Highlander,2006,Gray,2.35,nigerian used,65000.0
Abuja,Toyota,Venza AWD,2010,Gray,4.7,nigerian used,112366.0
Lagos,Toyota,Tacoma,2007,Black,7.5,foreign used,72366.0
Lagos,Mercedes-Benz,GL Class GL 450,2013,White,15.5,foreign used,72366.0
Abuja,Toyota,Avalon Limited,2020,Red,20.5,brand new,4000.0
Lagos,Toyota,RAV4,2015,Gray,11.0,foreign used,52860.0
Lagos,Toyota,RAV4 3.5 4x4,2010,Blue,5.8,foreign used,96553.0
Lagos,Lexus,RX 330,2006,Silver,4.9,foreign used,4135.0
Lagos,Kia,Cerato,2011,Gray,1.46,nigerian used,111136.0
Lagos,Honda,CR-V,2010,Brown,2.48,nigerian used,174967.0
Ibadan,Toyota,Corolla,2017,Brown,7.88,foreign used,101103.0
Lagos,Lexus,ES 350,2012,Black,6.5,foreign used,134260.0
Abuja,Chevrolet,Camaro,2010,Yellow,6.9,foreign used,72366.0
Abuja,Toyota,Camry,2014,Black,5.4,foreign used,147085.0
Abuja,Toyota,Sienna,2010,Silver,6.2,foreign used,171000.0
Abuja,Lexus,RX 350 F Sport AWD,2019,Gray,24.0,foreign used,21000.0
Abuja,Mercedes-Benz,C300,2013,White,8.0,foreign used,95000.0
Lagos,Saturn,Vue,2008,Blue,1.13,nigerian used,293047.0
Lagos,Toyota,Venza,2014,White,9.8,foreign used,55027.0
Lagos,Lexus,ES 350,2009,Gray,4.4,foreign used,72366.0
Abuja,Lamborghini,Lamborghini Urus,2021,Orange,295.0,brand new,811.0
Abuja,Hyundai,Santa Fe,2014,Black,3.3,nigerian used,112366.0
Ibadan,Honda,Accord 2.4 Type S Automatic,2004,Purple,0.68,nigerian used,304483.0
Abuja,Mercedes-Benz,M Class ML 350 4Matic,2008,Blue,3.86,nigerian used,52352.0
Lagos,Toyota,RAV4 4x4,2007,Red,4.1,foreign used,805624.0
Abuja,Acura,RDX SH-AWD,2012,Black,4.3,foreign used,63000.0
Abuja,Toyota,Camry XSE FWD,2020,Black,20.0,foreign used,72366.0
Abuja,Mercedes-Benz,C300,2009,White,4.4,foreign used,72366.0
Abuja,Lexus,RX 350 AWD,2012,Black,9.5,foreign used,72366.0
Lagos,Toyota,Venza V6,2011,Red,7.0,foreign used,72366.0
Abuja,Toyota,Sienna,2004,White,3.5,nigerian used,112366.0
Abuja,Mercedes-Benz,E350,2010,Black,4.2,nigerian used,65000.0
Lagos,Lexus,IS 250,2015,Black,5.0,foreign used,88570.0
Lagos,Lexus,RX 350 AWD,2017,Black,21.5,foreign used,236827.0
Lagos,Mercedes-Benz,GLS-Class GLS450 4MATIC,2019,Silver,46.0,foreign used,72366.0
Lagos,Toyota,Camry,2002,Black,1.69,nigerian used,378193.0
Abuja,Mercedes-Benz,C-Class C 300 (W204),2010,Black,4.2,foreign used,70000.0
Abuja,Toyota,Yaris,2007,Silver,3.1,foreign used,72366.0
Lagos,Honda,Odyssey,1996,Green,0.79,nigerian used,234412.0
Lagos,Toyota,Tacoma Limited,2017,Blue,19.5,foreign used,31000.0
Abuja,Toyota,Land Cruiser,2022,White,80.0,brand new,811.0
Ibadan,Toyota,Camry,2014,Green,4.98,foreign used,99000.0
Abuja,Honda,CR-V EX-L 4WD Automatic,2007,Blue,3.95,foreign used,72366.0
Abuja,Toyota,Picnic,2000,Silver,1.9,nigerian used,78568.0
Abuja,Jeep,Wrangler Unlimited Sport,2013,Blue,13.5,foreign used,72366.0
Abuja,Honda,Accord,2010,Blue,2.68,nigerian used,112366.0
Abuja,Lexus,RX 350 AWD,2016,Blue,18.5,foreign used,42000.0
Abuja,Toyota,Venza V6,2011,Brown,7.8,foreign used,72366.0
Lagos,Toyota,RAV4 Limited,2011,Red,4.5,foreign used,1.0
Abuja,Mercedes-Benz,CLA-Class,2014,Black,8.0,nigerian used,54213.0
Abuja,Mercedes-Benz,M Class ML 320,2001,Black,1.1,nigerian used,112366.0
Lagos,Mercedes-Benz,GL Class GL 450,2011,Black,7.9,foreign used,83151.0
Lagos,Lexus,GX 460 Premium,2013,Black,11.8,nigerian used,125911.0
Abuja,Ford,Escape,2005,Black,0.62,nigerian used,311693.0
Abuja,Toyota,Highlander,2008,Black,6.85,foreign used,79820.0
Lagos,Toyota,Camry,2012,Black,5.5,foreign used,72366.0
Abuja,Toyota,RAV4 LE FWD (2.5L 4cyl 6A),2017,Purple,9.7,foreign used,72366.0
Lagos,Lexus,GX 460 Luxury,2016,Black,28.55,foreign used,72366.0
Lagos,Lexus,ES 350,2011,Black,6.7,foreign used,43528.0
Ibadan,Lexus,RX 300,2001,Silver,1.69,nigerian used,187412.0
Abuja,Peugeot,307 1.6 Premium,2005,Green,1.75,foreign used,142874.0
Abuja,Toyota,Highlander Limited V6,2005,Silver,2.55,nigerian used,85234.0
Abuja,Mercedes-Benz,G-Class G 65 AMG 4MATIC,2015,White,95.0,brand new,15000.0
Lagos,Lexus,ES 350,2007,White,4.9,foreign used,72366.0
Lagos,Toyota,Highlander Limited 4x4,2008,White,5.6,foreign used,72366.0
Abuja,Lexus,LX 570 (5 Seats) AWD,2020,Black,67.5,brand new,1661.0
Abuja,Peugeot,407 2 Esplanade,2005,Silver,1.2,nigerian used,112366.0
Abuja,Toyota,Highlander SE 4x2 V6 (3.5L 6cyl 8A),2018,Black,16.8,foreign used,46523.0
Lagos,Lexus,RX 350,2010,Red,9.8,foreign used,131478.0
Lagos,Toyota,RAV4,2007,Green,2.7,nigerian used,68664.0
Lagos,Honda,HR-V,2021,Black,16.31,foreign used,123.0
Abuja,Toyota,Land Cruiser Prado,2019,Black,26.0,brand new,23.0
Abuja,BMW,328i,2009,Black,5.65,nigerian used,112366.0
Lagos,Lexus,RX 350,2010,White,9.0,foreign used,72366.0
Lagos,Hyundai,Santa Fe,2007,White,3.04,foreign used,177494.0
Abuja,Mini,Countryman,2011,Black,8.5,foreign used,56412.0
Abuja,Lexus,RX 350 FWD,2012,Gray,8.2,nigerian used,80000.0
Lagos,Lexus,ES 350,2008,Blue,4.35,foreign used,75000.0
Lagos,Tata,Sumo Victa Turbo DI,2008,White,19.13,foreign used,72366.0
Abuja,Mercedes-Benz,C300,2011,White,5.3,foreign used,72366.0
Lagos,Lexus,IS 250 4WD,2009,Gray,4.2,foreign used,72366.0
Lagos,Toyota,Camry,2013,Black,5.75,foreign used,72366.0
Lagos,Mercedes-Benz,M Class ML 350 TEC 4Matic,2012,Silver,12.8,foreign used,72366.0
Abuja,Ford,F-150 SuperCrew,2008,Black,6.5,foreign used,85632.0
Lagos,Toyota,Tacoma Access Cab,2006,Silver,8.4,foreign used,152822.0
Lagos,Mercedes-Benz,C300,2016,Black,13.5,foreign used,54000.0
Lagos,Jaguar,Xj,2001,White,3.68,foreign used,64202.0
Lagos,Lexus,RX 350 AWD,2013,Burgandy,10.0,nigerian used,63985.0
Lagos,Lexus,RX 350,2010,Gray,8.8,foreign used,80957.0
Lagos,Lexus,ES 350,2011,White,5.7,foreign used,72366.0
Abuja,Toyota,Hilux,2021,White,28.5,brand new,1024.0
Lagos,Toyota,Camry,2010,Gold,3.85,foreign used,72366.0
Lagos,Toyota,Camry 2.4 XLE,2005,Red,1.69,nigerian used,252217.0
Abuja,Toyota,Corolla,2015,Beige,4.8,foreign used,53541.0
Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2008,Gray,3.9,foreign used,75000.0
Abuja,Honda,Pilot,2005,Silver,2.03,nigerian used,171875.0
Abuja,Mercedes-Benz,C300,2008,Black,4.8,foreign used,98000.0
Abuja,Lexus,RX 350,2008,Gray,5.9,foreign used,72366.0
Lagos,Lexus,ES 350,2012,Silver,5.65,foreign used,65788.0
Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2008,Silver,4.15,foreign used,72366.0
Lagos,Lexus,RX 350 AWD,2009,Brown,5.9,foreign used,75000.0
Ibadan,Toyota,Tacoma Double Cab V6 4WD,2004,Silver,4.95,foreign used,72366.0
Lagos,Land Rover,Range Rover Vogue,2018,Black,58.0,foreign used,26000.0
Abuja,Toyota,Camry,2018,Gray,15.7,foreign used,59322.0
Abuja,Toyota,RAV4,2004,Green,1.6,nigerian used,112366.0
Ibadan,Lexus,RX 330 4WD,2005,Beige,5.51,foreign used,471102.0
Lagos,Nissan,Pathfinder,2001,Gray,0.96,nigerian used,206036.0
Lagos,Mercedes-Benz,CLA-Class Base CLA 250 AWD 4MATIC,2016,Red,9.0,nigerian used,112366.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2013,Black,11.5,foreign used,100000.0
Lagos,Fiat,Fullback,2019,White,12.5,foreign used,54.0
Lagos,Lexus,ES 350,2008,Black,4.5,foreign used,72366.0
Abuja,Lexus,NX 200t AWD,2016,Black,12.0,nigerian used,24196.0
Lagos,Lexus,RX 350,2011,White,9.0,foreign used,25252.0
Lagos,Ford,Escape,2012,Ivory,2.25,nigerian used,141518.0
Abuja,Jeep,Liberty,2005,Gray,1.6,nigerian used,124886.0
Lagos,Mercedes-Benz,C300,2017,Blue,15.6,foreign used,72366.0
Lagos,Toyota,4-Runner Limited 4X2,2013,Black,13.0,foreign used,77676.0
Abuja,Toyota,Corolla LE,2004,Green,1.8,nigerian used,120321.0
Lagos,Lexus,ES 350,2008,Blue,3.99,foreign used,980801.0
Abuja,BMW,X3 3.0i,2008,Silver,2.95,foreign used,125000.0
Lagos,Lexus,IS 250,2008,Silver,3.9,foreign used,171489.0
Lagos,Mercedes-Benz,M Class,2011,Black,7.8,foreign used,71000.0
Lagos,Toyota,4-Runner Limited V6 4x4,2005,Gray,3.6,foreign used,58234.0
Abuja,Mercedes-Benz,M Class ML 550 4Matic,2008,Gold,3.75,nigerian used,112366.0
Abuja,Honda,Accord,2013,Black,5.3,foreign used,45000.0
Lagos,Lexus,RX 350,2013,Black,11.0,foreign used,87352.0
Abuja,Land Rover,Range Rover Evoque Pure,2012,Red,7.5,nigerian used,112366.0
Lagos,Mercedes-Benz,GLK-Class 350,2012,Silver,9.85,foreign used,72366.0
Abuja,Toyota,Camry,2014,Black,5.5,foreign used,38058.0
Abuja,Mercedes-Benz,GLE-Class,2016,Black,37.0,foreign used,72366.0
Abuja,Mercedes-Benz,E350,2015,Gray,11.3,foreign used,72366.0
Abuja,Toyota,Camry,2021,White,30.0,foreign used,72366.0
Lagos,Hyundai,Tucson,2016,Gray,8.3,foreign used,47001.0
Abuja,Toyota,Camry,2016,Black,6.3,foreign used,72366.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2011,Silver,6.85,foreign used,89000.0
Lagos,Kia,Forte SX,2010,Gray,2.4,foreign used,91200.0
Lagos,Lexus,ES 350,2008,White,4.5,foreign used,72366.0
Lagos,Lexus,RX,2018,White,22.5,foreign used,16762.0
Abuja,Peugeot,206,2006,Blue,1.8,foreign used,72366.0
Abuja,Land Rover,Rover Lr3,2007,Black,3.7,nigerian used,112366.0
Abuja,Toyota,Camry SE FWD (2.5L 4cyl 8AM),2018,White,12.5,foreign used,75683.0
Lagos,Toyota,Sequoia,2010,Black,13.0,foreign used,75611.0
Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,2013,Black,9.9,foreign used,65325.0
Lagos,Lexus,RX,2018,Gray,23.5,foreign used,20000.0
Lagos,Toyota,RAV4,2014,Black,8.5,foreign used,72366.0
Lagos,Acura,MDX SUV 4dr AWD (3.7 6cyl 5A),2008,Silver,3.9,foreign used,85000.0
Lagos,BMW,X1,2006,Black,2.81,foreign used,156178.0
Lagos,Kia,Optima Off,2017,White,6.75,foreign used,47979.0
Abuja,Lexus,RX 330,2004,Black,3.4,nigerian used,112366.0
Abuja,Lexus,GX,2018,Black,16.85,foreign used,96000.0
Lagos,Toyota,Highlander,2011,Silver,4.83,foreign used,178127.0
Ibadan,Hyundai,Elantra,2011,Gray,3.95,foreign used,130000.0
Abuja,Toyota,Corolla LE,2004,Silver,2.6,foreign used,72366.0
Lagos,Toyota,Camry Matt,2012,Black,5.75,foreign used,85200.0
Abuja,Acura,TL Automatic,2008,Gray,3.2,foreign used,72366.0
Lagos,Toyota,Camry,2007,Black,2.81,nigerian used,74263.0
Lagos,Honda,Odyssey EX Automatic,2005,White,2.36,foreign used,190949.0
Lagos,Lexus,RX 350 F Sport AWD,2019,White,23.5,foreign used,5000.0
Abuja,BMW,528i,2013,Gray,13.5,foreign used,133000.0
Lagos,Hyundai,Santa Fe,2015,Silver,7.09,nigerian used,86960.0
Lagos,Acura,MDX,2011,Silver,6.3,foreign used,54700.0
Abuja,Infiniti,QX56,2012,Black,9.7,nigerian used,112366.0
Lagos,Acura,MDX,2009,Silver,4.3,foreign used,58600.0
Abuja,Lexus,RX 350 4x4,2009,Black,3.4,nigerian used,112366.0
Abuja,Land Rover,Rover Lr4,2009,Silver,2.1,nigerian used,86000.0
Abuja,Mercedes-Benz,C63,2010,Black,9.8,foreign used,85214.0
Abuja,Mercedes-Benz,M Class,2012,Black,8.0,nigerian used,32454.0
Ibadan,Toyota,Sienna XLE,2005,Blue,3.2,foreign used,110893.0
Abuja,Toyota,RAV4 Limited,2007,Blue,2.75,nigerian used,100000.0
Ibadan,Acura,MDX,2013,Silver,4.35,nigerian used,71000.0
Ibadan,Toyota,Camry Station Wagon,1998,White,0.69,nigerian used,170420.0
Abuja,Toyota,Highlander V6 4x4,2006,Burgandy,3.7,foreign used,72366.0
Abuja,Mercedes-Benz,E250,2010,Black,5.8,foreign used,67852.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2012,Silver,12.5,foreign used,72366.0
Lagos,Toyota,Tacoma,2007,Silver,7.5,foreign used,72366.0
Lagos,Toyota,Tacoma SR5,2018,Orange,19.45,foreign used,50000.0
Ibadan,Toyota,Corolla,2009,Gray,3.2,foreign used,72366.0
Ibadan,Toyota,Tacoma PreRunner Access Cab,2006,Black,6.58,foreign used,72366.0
Ibadan,Toyota,Corolla 1.3 Liftback,1992,Blue,0.7,nigerian used,177463.0
Abuja,Mercedes-Benz,GLC-Class,2016,Silver,25.0,foreign used,76324.0
Lagos,Toyota,Venza,2014,Black,11.5,foreign used,24866.0
Lagos,Lexus,ES 330,2005,White,3.05,foreign used,72366.0
Abuja,Toyota,Camry,2013,Black,4.35,nigerian used,65555.0
Lagos,Lexus,ES 350 FWD,2017,Black,16.9,foreign used,72366.0
Lagos,Toyota,Highlander SE,2019,Gray,21.0,foreign used,7000.0
Abuja,Toyota,Camry,2018,Black,12.5,foreign used,15132.0
Lagos,Mercedes-Benz,C320,2001,Black,1.35,nigerian used,294838.0
Abuja,Mercedes-Benz,GLK-Class,2014,White,11.5,foreign used,64529.0
Lagos,Honda,Accord,2003,Black,1.2,nigerian used,112366.0
Abuja,Lexus,ES 350 FWD,2013,Red,9.9,foreign used,72366.0
Lagos,Mercedes-Benz,C300,2008,Black,3.15,nigerian used,146992.0
Ibadan,Toyota,Picnic,2003,Silver,2.63,foreign used,146321.0
Abuja,Toyota,RAV4,2014,Gray,8.5,foreign used,78000.0
Abuja,Toyota,Avalon,2014,Gray,8.0,foreign used,97000.0
Abuja,Toyota,Corolla,2015,Gray,6.7,foreign used,72366.0
Lagos,Lexus,ES 350,2008,Silver,4.5,foreign used,23166.0
Lagos,Lexus,ES 350,2011,Silver,5.6,foreign used,72366.0
Lagos,Toyota,Camry,2000,Gray,0.79,nigerian used,112366.0
Lagos,Mercedes-Benz,C300,2015,Blue,13.0,foreign used,85312.0
Abuja,Toyota,Corolla,2009,Gold,2.25,nigerian used,152325.0
Abuja,Toyota,Corolla,2015,Silver,4.15,nigerian used,112366.0
Lagos,Lexus,RX 350,2011,White,9.5,foreign used,40252.0
Lagos,Lexus,GX 460 Premium,2012,Black,15.5,foreign used,72366.0
Abuja,Honda,CR-V Touring AWD,2018,Black,14.0,foreign used,69000.0
Lagos,Lexus,ES 350 FWD,2014,White,9.0,nigerian used,88000.0
Abuja,Mercedes-Benz,S-Class,2007,Silver,6.9,foreign used,85000.0
Abuja,Mercedes-Benz,M Class,2008,Silver,2.8,nigerian used,85000.0
Lagos,Toyota,Venza,2014,White,12.0,foreign used,65437.0
Abuja,Lexus,RX 350,2008,Gray,5.6,foreign used,72366.0
Abuja,Jeep,Commander Limited 4x4,2010,Blue,5.8,foreign used,85213.0
Lagos,Lexus,RX,2003,Blue,3.2,foreign used,50000.0
Ibadan,Toyota,Camry,2010,Silver,4.0,foreign used,110000.0
Ibadan,Toyota,Avensis Verso 2 Petrol,2001,Silver,1.69,nigerian used,189523.0
Lagos,Mercedes-Benz,GLS-Class,2017,Blue,38.0,foreign used,69000.0
Abuja,Toyota,4-Runner Limited 4WD,2011,Gray,10.5,foreign used,69853.0
Lagos,Toyota,Corolla,2011,Black,5.06,foreign used,147445.0
Lagos,Lexus,ES 350,2008,Gold,5.25,foreign used,79463.0
Abuja,Peugeot,508,2015,White,5.85,nigerian used,81234.0
Abuja,Pontiac,Vibe,2010,White,2.4,nigerian used,102000.0
Abuja,Toyota,Corolla,2009,Black,2.5,nigerian used,112366.0
Ibadan,Toyota,Corolla,2010,Silver,3.49,nigerian used,137590.0
Lagos,Lexus,GX 460 Luxury,2015,Black,16.0,nigerian used,64504.0
Lagos,Toyota,Highlander Limited,2012,Black,9.65,foreign used,76083.0
Abuja,Toyota,Avalon,2014,Black,6.5,foreign used,89800.0
Abuja,Hyundai,Elantra,2017,Red,6.34,foreign used,10559.0
Lagos,Lexus,RX 350 F SPORT AWD,2013,Black,13.5,foreign used,56443.0
Lagos,Lexus,RX 350,2010,Silver,7.6,foreign used,98000.0
Abuja,Lexus,ES,2000,Burgandy,1.9,nigerian used,133211.0
Abuja,Mercedes-Benz,CLS 550,2012,Gray,13.95,foreign used,51000.0
Abuja,Toyota,Hilux 2.7 VVT-i 4X4 SRX,2012,White,6.5,nigerian used,85214.0
Ibadan,Mercedes-Benz,GLC-Class,2016,Black,19.5,foreign used,72366.0
Abuja,Toyota,Highlander V6 AWD,2002,Gold,2.0,nigerian used,86582.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2012,Silver,13.0,foreign used,175294.0
Lagos,Acura,MDX,2009,Red,4.1,foreign used,72366.0
Abuja,Volkswagen,Golf,2004,Gold,1.5,foreign used,72366.0
Abuja,Pontiac,Vibe,2011,Black,3.3,foreign used,72366.0
Lagos,Toyota,Tundra,2010,Gold,7.0,foreign used,154.0
Lagos,Lexus,RX 350 AWD,2009,Silver,5.9,foreign used,61538.0
Lagos,Mercedes-Benz,C250,2013,Black,5.5,foreign used,72366.0
Ibadan,Lexus,RX,2000,Gold,1.46,nigerian used,368725.0
Ibadan,Lexus,RX 330 AWD,2006,Gold,5.3,foreign used,70123.0
Abuja,Lexus,LX 570 AWD,2021,Black,175.0,brand new,775.0
Abuja,Mercedes-Benz,M Class ML 350 4Matic,2013,Black,12.9,foreign used,78000.0
Abuja,Honda,Accord LX,2018,Red,12.5,foreign used,925343.0
Lagos,Acura,MDX,2008,Purple,4.3,foreign used,61032.0
Abuja,Kia,Sportage,2008,Black,1.6,nigerian used,112366.0
Abuja,Honda,Accord,2014,Silver,6.0,foreign used,50000.0
Abuja,Mercedes-Benz,GLE-Class,2019,Black,22.0,foreign used,17800.0
Lagos,Acura,MDX,2008,White,4.3,foreign used,107233.0
Lagos,Honda,Civic 1.7 CTDi S,2004,Blue,1.46,nigerian used,203939.0
Lagos,Toyota,Sienna,2001,Blue,1.35,nigerian used,288909.0
Lagos,Toyota,Highlander Off,2017,White,18.5,foreign used,19000.0
Abuja,Lexus,LX 570 AWD,2013,Black,22.5,foreign used,72366.0
Lagos,Lexus,ES 350,2010,Silver,5.9,foreign used,85000.0
Abuja,Lexus,NX 200t FWD,2017,Gray,17.5,foreign used,56000.0
Abuja,Mercedes-Benz,C300,2013,White,7.0,foreign used,65000.0
Abuja,Mercedes-Benz,E350,2007,White,1.95,nigerian used,112366.0
Abuja,Lexus,ES,2009,Blue,3.94,nigerian used,158654.0
Lagos,Lexus,ES 350,2011,Silver,4.95,foreign used,72366.0
Lagos,Toyota,Corolla LE,2004,Gray,2.7,foreign used,85200.0
Abuja,Toyota,Land Cruiser Prado VXR,2018,Black,28.5,brand new,80.0
Abuja,Honda,Accord,2016,Black,9.0,foreign used,48348.0
Lagos,Toyota,4-Runner Limited V6 4x4,2005,Silver,4.9,foreign used,71231.0
Abuja,Mercedes-Benz,S-Class S 500 4MATIC (W222),2016,Black,43.0,nigerian used,112366.0
Lagos,Lexus,RX 350 AWD,2009,Black,6.1,foreign used,87000.0
Ibadan,Lexus,IS 250,2008,Black,4.35,foreign used,125000.0
Lagos,Lexus,RX 350 F Sport AWD,2019,White,33.0,foreign used,16792.0
Lagos,Toyota,Camry,2008,White,4.2,foreign used,52898.0
Abuja,Mercedes-Benz,M Class,2014,Black,13.5,foreign used,86131.0
Ibadan,Toyota,Camry,2013,Gold,4.8,foreign used,82000.0
Abuja,Mercedes-Benz,GLK-Class,2014,Black,7.7,foreign used,45000.0
Lagos,Toyota,Camry,2011,Gray,4.6,foreign used,102230.0
Abuja,Lexus,RX,2000,Blue,4.1,foreign used,72311.0
Abuja,Land Rover,Range Rover Sport Autobiography,2019,Black,75.0,foreign used,72366.0
Abuja,Lexus,LS 460 L Luxury Sedan,2007,Black,6.85,foreign used,72366.0
Lagos,Toyota,Venza AWD,2011,Blue,7.8,foreign used,85635.0
Lagos,Lexus,RX 330,2006,Gold,5.55,foreign used,79543.0
Lagos,Toyota,Tacoma Double Cab V6 4WD,2004,Red,4.65,foreign used,72366.0
Ibadan,Toyota,Venza XLE AWD,2013,Black,8.5,foreign used,60123.0
Lagos,Lexus,RX 350,2011,White,8.5,foreign used,72366.0
Abuja,Lexus,ES 300,2002,Black,3.5,foreign used,72366.0
Lagos,Toyota,Venza V6 AWD,2011,Silver,7.75,foreign used,75635.0
Abuja,Hyundai,Sonata 3.3 V6 GLS Automatic,2007,Silver,2.0,foreign used,72366.0
Lagos,Toyota,Tundra,2016,Black,26.2,foreign used,72366.0
Abuja,Toyota,Camry,2007,Gold,2.25,nigerian used,82525.0
Lagos,Lexus,RX,2015,Gold,11.0,foreign used,97632.0
Abuja,Mercedes-Benz,E350,2007,Silver,2.85,nigerian used,112366.0
Lagos,Toyota,Tacoma,2010,Silver,8.85,foreign used,87825.0
Abuja,Toyota,Camry,2020,Silver,16.0,foreign used,15000.0
Abuja,Toyota,Camry,2007,Black,2.2,nigerian used,112366.0
Lagos,Toyota,Camry,2012,Blue,4.2,nigerian used,52650.0
Abuja,Peugeot,406,2003,Blue,2.6,foreign used,100000.0
Abuja,Mercedes-Benz,M Class ML 350 4Matic,2008,Black,5.0,nigerian used,112366.0
Abuja,Toyota,Avalon,2015,Black,7.6,foreign used,52352.0
Lagos,Lexus,ES 350,2008,Silver,4.7,foreign used,72366.0
Lagos,Audi,Q7,2014,Black,11.55,foreign used,54861.0
Abuja,Toyota,Camry,2014,Gray,5.5,foreign used,58869.0
Abuja,Mercedes-Benz,E350,2010,Silver,6.8,foreign used,85231.0
Abuja,Honda,CR-V EX 4dr SUV (2.4L 4cyl 5A),2012,Silver,5.65,foreign used,124000.0
Abuja,Toyota,Corolla,2013,White,4.2,foreign used,41000.0
Abuja,Lexus,IS,2014,Black,9.5,foreign used,57186.0
Abuja,Land Rover,Range Rover Sport,2014,Black,23.0,foreign used,101748.0
